,Title,Author,Text,Resource,Label,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
10,SNP conference: £500 'thank you' payment for healthcare staff,[],"She added: ""Initiatives like this are not just about providing practical help to those who need it most - they are an expression of our values and of the kind of country we are seeking to build.""",BBC,1,,,,,,,,,,,,
11,His Dark Materials - Can you find the Subtle Knife?,[],"Oops you can't see this activity!

To enjoy the CBBC website at its best you will need to have JavaScript turned on.

For more help please visit the CBBC FAQ",BBC,1,,,,,,,,,,,,
12,Saved By The Bell apologises to Selena Gomez for kidney transplant joke,[],As a kidney donor I want to show love and let other donors know that you are not alone. You are seen. You are appreciated. You are so brave and your selfless act is very much appreciated and valued! 🙏🏽,BBC,1,,,,,,,,,,,,
13,"The Grand Tour stars on pirate treasure, cycle lanes and electric cars",[],"The Grand Tour stars on pirate treasure, cycle lanes and electric cars By Steven McIntosh

Entertainment reporter Published duration 17 hours ago

image copyright Amazon Studios image caption It took real boules to film some scenes in the new Madagascar special

Jeremy Clarkson, Richard Hammond and James May attempt to find pirate treasure in their new special, The Grand Tour presents: A Massive Hunt.

The trio head to Madagascar for their latest Amazon film, with little more than a car each and a historical treasure map.

The challenge starts with the tale of an 18th Century pirate known as La Buse (The Buzzard). Legend has it that, before he died, he buried his treasure - worth £100m in today's money - somewhere in the Seychelles.

When he was finally captured and executed in 1730, he hurled a piece of parchment into the crowd, shouting: ""My treasure for he who can understand!""

image copyright Getty Images image caption La Buse (left), who was executed in 1730, and his tomb on the French island of La Reunion

The parchment contained a 17-line cryptogram which apparently revealed where his treasure was buried... but only if someone was able to decipher it.

Many have tried and failed over the centuries to locate the loot. We've been speaking to Clarkson, Hammond and May about their own hunt (and a few other things in between).

1. Some were more hopeful about finding the treasure than others

image copyright Amazon Studios image caption Hammond was the most optimistic of the group about genuinely finding the treasure

In the course of the 90-minute special, May makes a decent and serious attempt to crack the codes. Which raises the question, did the team ever think they might actually discover the treasure?

""Yes! I did all along,"" says the lovably enthusiastic Hammond. ""I'm a massive fan of all of that stuff. It's historical fact that a lot of these people did exist, as did their treasure. So you never know, there was a chance.""

Executive producer Andy Wilman has a slightly different reaction when we put the same question to him.

""Are you mentally deranged?"" he asks us, which we'll take as a no.

""I'll tell you what it did do, it made you a kid again. I'm getting paid to hunt for buried treasure, like I'm seven. It's one of those situations where your tongue has got to come through your cheek. So the viewer can see [we know] that this is nonsense. But you go with it because of the journey, it's a great adventure to go on.""

2. The title (surprisingly) wasn't their idea

image copyright Amazon Studios image caption A Massive Hunt was filmed prior to the coronavirus pandemic

You might have thought that the team would have a hard time topping the name of last year's special, The Grand Tour presents: Seamen, which saw the trio swap cars for boats. But they've outdone themselves here.

So whose idea was The Grand Tour presents: A Massive Hunt?

""You won't believe me when I tell you, but it was the people we work for,"" reveals Wilman. ""Old big corporate Amazon.

""We were batting titles backwards and forwards and it was like 'best one wins'. And then I got a text from their head of marketing and I was like, 'oh yeah, game over, our work is done now'.""

3. Madagascar: Worse than Swindon

image copyright Amazon Studios image caption May says he's never driven on a road as difficult as this one in Madagascar

Perhaps the most gripping section of the new special comes when the trio have to find their way along a road in Madagascar - although the word ""road"" is being rather generous.

""It's extraordinary that it's actually marked on a map as a thing you can drive a vehicle on,"" says a bewildered Clarkson. ""I'm not surprised the Madagascans threw the French out if that was their idea of a road, because it just isn't one.""

May admits: ""In terms of trying to get your car to the end, we honestly thought near the beginning of filming that we simply weren't going to be able to do it.

""I've never driven on a road that difficult to simply negotiate. It's worse than the centre of Swindon, with all those mini roundabouts. You could spend the rest of your life there if you're not careful.""

4. Clarkson remains unconvinced by electric cars

image copyright Amazon Studios image caption Clarkson woke up to the issue of climate change last year - but hasn't changed his lifestyle

You may remember Clarkson publicly acknowledged climate change for the first time in last year's special, after the awful conditions the team witnessed in Cambodia. But that doesn't mean he's about to change his behaviour.

""I've just ordered a new Bentley, with a V8 engine, so that's where I stand,"" he says. ""[Hammond and May] both have electric cars now but I'm carbon offsetting them.""

He refers to recent reports of ""appalling"" child slavery in the Democratic Republic of Congo, after the huge surge in demand for cobalt - a critical metal for electric car batteries.

""They're also very expensive and completely impractical and have the personality of a vacuum cleaner but if that's what you like, help yourself to an electric car.""

5. And it's probably best you don't mention cycle lanes to him either

image copyright PA Media image caption More cycle lanes have sprung up in London this year as a way to avoid public transport

...because it sounds like he had quite a traumatic experience travelling to the press launch.

""It took me three hours to get to where I am this morning, because the Mayor of London is an imbecile,"" he says with his usual tact. ""He's just turned the whole damn city into a cycle lane.

""I don't mind one or two cycle lanes where it's convenient but he's put one in the Euston underpass. I mean, the man's a maniac and must be stopped.""

Clarkson has always enjoyed being provocative with the things he says, but we thought we'd better put these comments to the Mayor of London.

A spokesman for Sadiq Khan told us: ""London is facing an air quality crisis which is causing thousands of deaths per year and exacerbating the physical effects of Covid-19. Half of toxic emissions in the city are caused by road transport.

""These policies are about saving lives and Sadiq makes no apologies for the temporary emergency measures he has put in place to encourage the huge increase in cycling we've seen since the pandemic began which is also enabling social distancing on public transport. We mustn't get through one public health crisis only to face another caused by congestion and toxic air pollution.""

6. The team hope viewers might fancy a crack

image copyright Amazon Studios image caption James May encourages viewers to try to crack the cryptogram, which is available online

After the special is released next month, James May hopes it will prompt renewed interest with the public in finding the treasure.

""The coded message is available in various books and online, and there are many ways of reading it and interpreting it, as I hope I showed, but if other people want to have a crack at it, I think that would be very interesting,"" he says.

""Even if you did manage to translate it, it would be in an old language which we're not very familiar with, so getting all the way through to what it actually means is going to require massive research knowledge and interpretative skills. But even if it's just for a bit of fun, I hope people still have a go at it, it's quite absorbing actually.""

7. The next special will be in Scotland

Wilman describes having to edit the Madagascar film over Zoom as ""a living hell"".

Lockdown also meant the team had to get creative when they began filming their next special, and find something to do within the UK.

""We were trying to think of different options, and where we ended up was we just shot one recently up in Scotland, a kind of mini coronavirus special, which will be 60-odd minutes rather than 90,"" Wilman explains

image copyright Amazon Studios image caption All three Grand Tour stars got their own deal for a solo show when they signed with Amazon

But how much longer will the trio continue doing The Grand Tour? They've been with Amazon since 2015, and were on Top Gear for 13 years before that.

""I am aware of ageing, and perhaps the need to grow up, now I'm in the second half of my 50s,"" says May. ""But I think we'll do it for a bit yet because, to be honest, people want us to, and it would be wrong of us to disappoint them.

""But eventually one of us is going to snap, yes. Probably me. I'm quite fragile, really.""

Wilman explains that he and the trio all got individual solo deals when they signed with Amazon, which meant each was given their own series in addition to working on The Grand Tour.

As a result, Clarkson has done a farming series, Hammond has a forthcoming survivalist show, while James May recently launched his own cookery programme. ""I've still got one to do,"" Wilman says, although adds that he'll remain behind the scenes rather than on screen.

""We'd like to do two [Grand Tour specials] a year, that was the plan. We've still got two to do, on our current contract. And that's about right, two allows us to do other things, and keep Grand Tour going.""",BBC,1,,,,,,,,,,,,
14,Covid: Single parents 'struggling' as children forced to self-isolate,[],"""I'm allowed to go to work but working in a primary school, do I go to work and risk spreading the virus or stay at home and look after the children? It's very hard to know what to do,"" she said.",BBC,1,,,,,,,,,,,,
15,Black Lives Matter founders: We fought to change history and we won,[],"""Over and over again, the burden and responsibility for violence gets placed at our feet, but nobody talks about the violence that our communities are experiencing both at the hands of government neglect, but also at the hands of police officers.",BBC,1,,,,,,,,,,,,
16,A 70-year-old photographic mystery,[],"Today, the idea of taking a photograph and never seeing the result is hard to comprehend, as we shoot away with our digital cameras or smartphones, instantly sharing photos we take. But wind the clock back to the time when photography was an analogue process, and the delay between taking the picture and seeing the prints could be many months, even years - long enough to forget. And for one roll of film, at least, the wait has been about 70 years.",BBC,1,,,,,,,,,,,,
17,Sydney records hottest November night on record,[],"""November has been quite unusual in many ways. We have only seen about half our normal rainfall and it is quite possible it will be one of our hottest Novembers on record,"" Andrew Watkins, of the Bureau of Meteorology (BOM) noted on Friday.",BBC,1,,,,,,,,,,,,
18,Australia demands China apologise for posting 'repugnant' fake image,[],"Australian exporters are on tenterhooks about what other tariffs they can expect from China amid the escalating spat. There's a lot at stake here: crucial diplomatic relations and billions of dollars' worth of trade. Both sides know that but it seems that only Australia, despite its fury, is still willing to extend a hand.",BBC,1,,,,,,,,,,,,
19,Festive treats and perfect soundtracks this Christmas across BBC Radio & BBC Sounds,[],"This Christmas, more so than ever, we’ve created perfect soundtracks that are full of festive cheer and stardust, celebrate our most loved shows, make space for reflection and tell extraordinary stories, both real or imagined."" — Charlotte Moore, Chief Content Officer

Charlotte Moore, BBC Chief Content Officer says: “This Christmas, more so than ever, we’ve created perfect soundtracks that are full of festive cheer and stardust, celebrate our most loved shows, make space for reflection and tell extraordinary stories both real or imagined.

""In what’s been a difficult year, millions of people have turned to our stations and Sounds for company through long periods of isolation and so we want to give our listeners schedules filled with special treats and surprising guests to celebrate the festive season.”

BBC Sounds

Bonus episodes and special Christmas editions of brilliant podcasts including Fortunately... with Fi and Jane, The YUNGBLUD Podcast and two helpings of James Acaster’s Perfect Sounds

Festive music mixes from Paloma Faith, Dizzee Rascal, Rita Ora and more

Cryptic new podcast thriller available as a boxset: The Cipher, starring Anya Chalotra (The Witcher) and Chance Perdomo (Chilling Adventures Of Sabrina)

Audiobooks to indulge in such as A Promised Land by Barack Obama and The Midnight Library by Matt Haig.

Pop Music Radio

From 1 December 5pm, join Radio 1, 1Xtra, Asian Network, Radio 2 and 6 Music for The BBC Radio Christmas House Party with all five BBC Pop Networks along with Radio 1 Dance coming together to launch their festive celebrations with a simulcast

Radio 1’s Official Chart with Katie Thistleton reveals the Christmas Number 1

Annie Mac’s Hottest Record Of The Year revealed on Radio 1

A new roster of young DJs takeover the Radio 1 schedule from Boxing Day to New Year’s Eve

H.E.R, Ivorian Doll, Ghetts, Big Zuu, Deno, Ray BLK and more guests for 1Xtra’s 12 Days of Christmas With… takeovers

Radio 2’s hour-long special with global music icon, Dolly Parton

Zoe Ball celebrates five decades of Annie Nightingale in broadcasting

An all-star end to the year when Sophie Ellis-Bextor’s Kitchen Disco, Michelle Visage’s Fabulous Divas, Rylan’s NYE Party and Craig Charles take over the Radio 2 airwaves

Artist mixes from Mercury Prize Winner Michael Kiwanuka, Goldie, Christine and the Queens and more on 6 Music

6 Music presenting debuts from Robyn on New Year’s Eve and the Beastie Boys on New Year’s Day

Radio 3, Orchestras and Choirs

Light In The Darkness season on Radio 3 creates music out of the sound of the Northern Lights and more to bring comfort and inspiration to listeners

Sound Walks with Horatio Clare take listeners rambling along the East Coast of the UK

BBC Orchestras and Choirs welcome special guests from Katie Melua and Jess Gillam to Brian Cox, Stephen Fry and Alan Bennett - plus the BBC’s own ‘drumming weatherman’ Owain Wyn Evans

Radio 4, 4 Extra and 5 Live

The Today programme welcome Guest Editors Lewis Hamilton, Evan Spiegel, Sir Jeremy Farrar, Margaret Atwood, Prue Leith and Bishop Rose Hudson-Wilkin

The Archers 70th anniversary celebrated with a special episode, New Year’s Day quiz, documentary and more

That Dinner of ’67, written by Tracy-Ann Oberman with David Spicer, features a A-list cast including Kenneth Branagh, Adrian Lester, David Morrisey and Daisy Ridley

Penelope Wilton and Gwendoline Christie join Neil Gaiman in an adaptation of his fairy-tale, The Sleeper And The Spindle

Dawn French and Jennifer Saunders star in new comedy, What Ever Happened to Baby Jane Austen?

Two very different Reunions - one reuniting the stars of Strictly’s earlier series, and another where Michael Rosen revisits NHS staff who treated him for Covid-19 earlier this year

Comedy specials from Ed Reardon, Count Arthur Strong’s Radio Show, Nature Table and The Missing Hancocks

4 Extra invites Sarah Millican to spread some festive cheer to listeners by curating a selection of programmes that fill her with warmth, wonder and merriment

A very special Christmas radio edition of A Question of Sport on 5 Live

Laura Whitmore’s Best of 2020 and a Christmas special from Tailenders

BBC World Service

Robert Beckford, one of the UK’s most prominent black theologians, explore the identity and colour of Jesus - and why it matters

A festive edition of Music Life will feature the acclaimed talents of David Byrne and St. Vincent

BBC Local Radio",BBC,1,,,,,,,,,,,,
20,Get Battered: Fish supper expert searches for Scotland’s best chippy,[],"The fish: The colour on this fish is pure golden, even the underside. It’s stunning.

I’ve no words. I mean, I should ‘cause it’s a review, but I am honestly lost for words.

The batter holds the grease so well not not in a way that gives you sticky fingers. It's as if this fish looked outside and saw it was raining and put a batter jacket on. It fits the fish perfectly. And the fish fits it.

The crispiness has layers. Layers upon layers of crispiness. Like an onion but from the sea… and it’s a fish.

Usually with the fish, there is only one winner. It's either the batter or the fish. But today, it's both. This fish has actually cheered me up. It hits every point. 10/10.

The chips: This is the standard. Every single chip is the same. Each as perfect as the last.

I’ve no words. I mean, I should ‘cause it’s a review, but I am honestly lost for words.

It's what a chip aspires to be in its chippy life. The fluffiness is unreal. It reminds me of when your granny makes you a massive pot of mash and you could pick it up and sleep on it.

I can’t believe that I had to come to the most northerly chippy in the whole of the UK to get decent chips. 10/10

The extra: N/A

Overall: I’ve travelled half way across Scotland, tried countless chippies but finally, after a twelve-hour boat journey, I’ve found it. The perfect chippy. 10/10",BBC,1,,,,,,,,,,,,
21,Coronavirus: Should I start taking vitamin D?,[],"Some researchers have suggested that vitamin D deficiency might be linked with poorer outcomes if someone catches coronavirus. But other underlying risk factors, such as heart disease, are common in these patients too, making it hard to draw conclusions.",BBC,1,,,,,,,,,,,,
22,Joe Biden: President-elect fractures foot while playing with dog,[],"Mr Biden, who beat Republican Mr Trump in November's election, is due to receive his first presidential daily briefing on Monday. This was made possible by the announcement a week ago that the transition process had begun.",BBC,1,,,,,,,,,,,,
23,Reinvestigating some of Wales’ most shocking murders,[],"Carol Ann Stephens was just six years old when, on 7th April 1959, she was abducted near her home in Cardiff.

Her mother, Mavis, had sent Carol Ann to the shops near their home on Malefant Street but she never returned.

Carol Ann had been spotted approaching a green car, tapping on the window and getting in with a man. Despite the police launching a widespread search for the missing girl, scouring the neighbourhood and beyond, she wasn’t found.

Her estranged father fell under suspicion, but after he handed himself in and proved he was in London at the time, he was no longer considered a suspect.

It wasn’t until two weeks after her disappearance, on Tuesday 21st April, that Carol Ann’s body was discovered in a brook, 60 miles away in the hamlet of Horeb near Llanelli.

The pathologist confirmed the cause of death as suffocation and despite several reports of a suspicious man driving a green car, the case went cold.

Her murder went on to instigate the creation of the ‘Don’t Go With Strangers’ public information campaign warning children of the danger of getting in a car with someone they didn’t know.",BBC,1,,,,,,,,,,,,
24,Esther Dingley search: Six teams look for her in Pyrenees,[],"Mr Colegate, who has gone to the Luchon area to help look for his partner of 18 years, said she had been away for a month and their last conversation had been about ""how excited we were to see each other as this was her last trip before driving back"".",BBC,1,,,,,,,,,,,,
25,Six famous politicians who have been on Desert Island Discs,[],"Boris Johnson appeared on Desert Island Discs in 2005, while he was juggling his work as an MP with his role as editor of the Spectator. Johnson tells presenter Sue Lawley he was reluctant to give up journalism: “I think I’ve successfully ridden two horses for quite a long time, but I have to admit there have been moments when the distance between the two horses has grown terrifyingly wide… And I did momentarily come off.”

Johnson’s choice tracks include Start Me Up by The Rolling Stones and Pressure Drop by The Clash. “It was the highest moment of my journalistic career when Joe Strummer actually sent me a letter saying how much he admired a column I’d written about hunting, funnily enough.” Boris went on to tell Sue that Joe Strummer was a “great hero” of his.",BBC,1,,,,,,,,,,,,
26,Mohsen Fakhrizadeh: Iran scientist 'killed by remote-controlled weapon',[],"The admiral said there were ""some clues"" about the perpetrators' identities, but that members of Mojahedin-e Khalq (MKO), an exiled Iranian opposition group opposed to clerical rule, were ""surely"" involved, along with ""the Zionist regime and the Mossad"" - a reference to Israel and its intelligence agency.",BBC,1,,,,,,,,,,,,
27,Covid vaccine: Moderna seeks approval in US and Europe,[],"He told BBC's World At One: ""I think the very strong message that you will see, this is the way we return the whole country, and so it's good for your family, it's good for your community, it's good for your country to be vaccinated.",BBC,1,,,,,,,,,,,,
28,Microsoft files patent to record and score meetings on body language,[],They also suggest employees' mobile devices could be used to monitor whether they were simultaneously engaged in other tasks - such as texting or browsing the internet - as well as to check their schedule to take into account whether they had had to attend other meetings the same day.,BBC,1,,,,,,,,,,,,
29,Will online degrees become more ‘legitimate’?,[],"When Blair Currey, 32, embarked on a bachelor’s degree in computer science at the University of London last year, he had no plans to travel to London. He’s studying from the comfort of home in New Jersey in the US, at half the cost of a US programme, and with the flexibility he needs. He was able to move states and travel internationally, while taking top-quality schooling with him.

The university’s reputation and the flexibility of studying online drew in Currey. “I had some doubts about the reputation of online degrees in general, so it was vital I found a programme from a trusted institution,” he says.



Fully online degrees and certificates have become increasingly popular in recent years. However, as Currey indicates, they’ve often suffered from an image problem that they're not quite as ‘legitimate’ as in-person degrees. But the pandemic has driven a surge of interest in, and need for, virtual learning, with even traditional universities moving their instruction online. Could this year be a turning point for acceptance of virtual degrees?

If the number of people enrolling in online learning is any indication, it’s possible.",BBC,1,,,,,,,,,,,,
30,A $50m danger-filled restoration,[],"On 21 June 2017, Iraqi forces were nearing the Great Mosque of al-Nuri in Mosul. One of the Iraqi city’s most famous and iconic landmarks, the mosque had stood in this part of Mosul – the Old City – since Nur al-Din Mahmoud Zangi, a Turkic ruler of Mosul and Aleppo, oversaw its construction between 1172 and 1173. It was not only a place of worship, but a representation of the city’s rich diversity: of different religions, art, education and culture. The mosque stood strategically placed in the heart of the city, surrounded by a network of tangled walkways and medieval streets that converged towards the city gates.

In July 2014, this mosque was where Islamic State leader Abu Bakr al-Baghdadi demanded allegiance in his first and only public appearance. Days earlier he’d declared his caliphate, giving birth to his “Islamic State”.

Three years later, at 21:50 on that June 2017 day – a blink of an eye in its more than 800 years of history – the mosque was destroyed by the jihadist group, yet more devastation in a devastated city. Iraqi forces were fighting to take the mosque in what would be a landmark victory and had reportedly advanced to within 50m of its walls when explosives were detonated from the inside.

The challenges of restoring the Great Mosque of al-Nuri – and with it part of Mosul’s identity – are far greater than a typical restoration

Around the world, news stations looked on as satellite imagery showed rubble strewn across the patch of land where the mosque once stood. “Daesh’s [Islamic State’s] bombing of the al-Hadba minaret and the al-Nuri mosque is a formal declaration of their defeat,” said the then-Iraqi prime minister Haider al-Abadi at the time. But what was left in its place was destruction.

Daesh was forced from the city in July 2017 in what ended a period of warfare known as the battle for Mosul. Then, Mosul’s long recovery began.

The al-Nuri mosque remained in pieces until December 2019 when the campaign to rebuild it was launched, a $50.44m project financed by the United Arab Emirates. The project is one element of a wider Unesco initiative known as Revive the Spirit of Mosul. Launched in February 2018 through a partnership between the Prime Minister of Iraq Mustafa al-Kadhimi and the UN Secretary-General António Guterres, the project aims to restore the urban, social and cultural fabric of the Old City, one where late Ottoman buildings stand alongside bustling bazaars and khans (traditional merchants’ dwellings). The Great Mosque of al-Nuri was at the spiritual heart of the Old City, a complex of prayer halls and buildings that spread out over roughly 11,050sq m.

At the mosque’s centre was the al Hadba minaret, a famed tower that looked out across the city. Throughout the years the minaret developed a natural, albeit precarious, lean to one side. This quirk not only gave the city of Mosul the unofficial nickname of “the hunchback” but its image is emblazoned on the 10,000 Iraqi Dinar bank note alongside a portrait of Ḥasan Ibn al-Haytham, a Basrah-born mathematician and key figure of the Islamic Golden Age. From the 8th to the 13th Century, this revolutionary era of literature, science, medicine and astronomy made what is modern-day Iraq the intellectual centre of the world.

One of the people heading the Revive the Spirit of Mosul project is Paolo Fontani, who took up the role of Director and Representative of Unesco Iraq in 2019. “When I was asked to take this position, I remember thinking how I would be grateful if one day someone came to help me rebuild my own hometown,” he said. “All the monuments, the places that have marked my existence and constructed who I am. My identity...”

But the challenges of restoring the Great Mosque of al-Nuri – and with it part of Mosul’s identity – are far greater than a typical restoration. Fontani and his team have to contend with a building that is almost 850 years old, and also one that toppled in a warzone.

For work to begin, it was vital to assess what damage had been done. Normally, surveyors would inspect the building and note what needed to be fixed, but there was a problem: the site was far too dangerous for any human to enter. So in the place of humans came drones. These drones, explained Maria Rita Acetoso, senior project officer on the al-Nuri mosque project, surveyed both horizontal surfaces like the roofs of single buildings and vertical ones like a minaret. As they did, a number of geo-referenced photos were taken and pieced together to create a 3D model. This allowed them to effectively fly throughout the wreckage to map every fallen ceiling, and to photograph the 45m-tall minaret in high definition with ease.

You may also be interested in:

• Iran's ingenious delivery solution

• The artefacts that survived the Taliban

• The Middle East's 'perfect' cuisine

After that came stabilising the area, which meant approaching the rubble as a booby-trapped site. Hidden amidst the wreckage, a large arsenal of mines and unexploded devices littered the area. “There were around 300 or 400 cases of TNT under there,” said Acetoso . “There were even IEDs hidden in the walls.”

Securing the site was overseen by the Iraqi authorities, who disarmed each explosive device individually. For Acetoso, this posed the greatest challenge. “The reconstruction of historical landmarks is always challenging, but the de-mining came with an unknown threat,” she said. In collaboration with the Iraqi Ministry of Culture and the State Board of Antiquities, a team of eight archaeologists were able to salvage artworks and artefacts from amongst the rubble that had miraculously survived the blast. In total, 44,000 bricks and 1,100 fragments of marble were recovered from the mosque and its minaret, all of which were catalogued and will eventually decorate the place of worship once again.

Considerable time was spent deciding whether the minaret would be re-erected in its original form – that is, how it looked 850 years ago, or with a tilt, as it was when it was destroyed. The minaret will keep its lean, but the task of rebuilding this plinth is much more difficult than deciding on its aesthetic.

The biggest concern is around the fact that the minaret is the most fragile element of the entire build. When the mosque was destroyed, the explosion caused a partial collapse of the upper base of the minaret’s eastern side, causing the structure to rotate significantly as it fell.

The starting point in salvaging this landmark is by assessing the current strength and stability of what is left, determining what can be saved and what has been lost. This begins by retrieving samples from the existing masonry through endoscopic investigation, where small holes are drilled into the masonry, which are then inspected with a camera. This technique helps inform on everything from the chemical-physical composition of the original materials used and the strength of the bricks themselves, to the exact constructive processes used in the 12th Century or in past renovation attempts. This, says Acetoso, will allow them to rebuild the mosque to near its original form.

The process has been long and arduous. The Covid pandemic has delayed work for most of 2020, and construction won’t fully conclude until 2023. The rebuilding of Mosul doesn’t begin and end with Unesco, however. More than 5,000 buildings were damaged in the Old City alone, while across Mosul, according to original government estimates from 2018, at least $2bn in aid is needed for the city to recover. Mosul itself still suffers with a lack of electricity, internet or provisions.

The site was far too dangerous for any human to enter

“Many families returned to Mosul and saw their own houses, churches, mosques, libraries and museums all destroyed,” said Father Najeeb Michaeel, Christian Chaldean Archbishop of Mosul, who is in the process of rebuilding his St Paul’s church on Mosul’s east side, which remains heavily damaged from the war. “That's why we’re working hand in hand, shoulder by shoulder to clean and rebuild Mosul. Not just in stone, but in spirit.”

The road will be long and difficult, but Mosul’s recovery is not achieved solely through bricks and mortar. It’s achieved in the return of culture to Mosul – of music, arts, education and literature – which is what built the city in the beginning and which is how its future will be drawn.

“They discovered the art of writing and reading here. This is our life. The origin of humanity,” said Father Najeeb. “This is our culture.”

Future of the Past is a BBC Travel series that explores important cultural heritage sites around the world that are under threat, and the innovations – both human and technological – being used to save them.

Join more than three million BBC Travel fans by liking us on Facebook, or follow us on Twitter and Instagram.

If you liked this story, sign up for the weekly bbc.com features newsletter called ""The Essential List"". A handpicked selection of stories from BBC Future, Culture, Worklife and Travel, delivered to your inbox every Friday.",BBC,1,,,,,,,,,,,,
31,France to rewrite police security bill after huge protests,[],"At the weekend, prosecutors said the officers had admitted that their violence against Mr Zecler was unjustified but said they acted out of panic after he resisted them in the cramped surroundings of the studio entrance.",BBC,1,,,,,,,,,,,,
32,BBC News,[],"Getty Images Copyright: Getty Images

With the festive period fast approaching, governments are facing tough questions about whether to ease restrictions in time for Christmas. In France, the government has said it will relax its national lockdown in phases.

It decided religious services would be able to take place, providing a 30-person limit was enforced. But the country's highest court has ordered a review of this limit, after it was challenged. Religious leaders argued that churches and cathedrals were more spacious than most public spaces.

""The claimants are right in saying that the measure is disproportionate,"" a court statement said. ""Thus it is a serious and illegal infringement on the freedom of worship.""

The government has been given three days to modify the policy and take proportionate measures. Elsewhere in Europe:

Thousands of health workers have marched in the Spanish capital, Madrid, in support of the country's public health system. They called for an increase in funding to cope with the pressures of the pandemic

Turkey is reporting record death rates amid concerns a recent surge in infections may overwhelm its health system

And in Germany, some traditional festive markets are going ahead, but with a novel twist. They are opening to drivers - rather than visitors on foot - with each stall operating as a drive-through service",BBC,1,,,,,,,,,,,,
