Title,Author,Text,Resource,Label,,,,,,,,,,,,
Summit & Spices in Morocco,[],"Day

3

You’ll start at 4 am this morning (early by anyone’s standards), clambering over rocky paths as vegetation thins out with the ever-increasing altitude. There are long sections of scree, and the climb becomes challenging because of the loose rock. Once you pass the 4,000m point, there are magnificent panoramic views across the valleys and lower summits of the High Atlas Range. The feeling of achievement you’ll get at the top is monumental. To the north, you’ll see the fertile plains of the Magreb and Marrakech, and to the south, the wild landscape of the pre-Sahara. After savouring that victorious feeling for a moment longer (and testing that panorama feature on your camera phone out), it’s time for the descent. Eventually, you’ll be met by a transfer bus to whisk you to Gite Armed in Arroumd for a celebratory evening.",TheGuardian,1,,,,,,,,,,,,
Fizz & Spritz in the Prosecco Hills,[],"Day

3

You’ll cover more ground today, about 50 km in fact, taking to the Prosecco Hills by bike. Those lacking in energy might opt for an electric bike, as the climbs are challenging on a standard bike. You’ll pass a picturesque 16th-century mill on the quiet back roads, before ascending to Rolle, a hilltop village. Continuing upwards to the village of Resera, the panoramic views open up with sweeping vineyards below. Then comes the welcome descent, freewheeling down to the shores of Revine Lake for a picnic and well-earned rest. The rest of the ride is leisurely, following flat cycle paths and roads back to Pieve di Soligo. Tonight, visit a local /agriturismo/ for a delicious local dinner, and pop into the kitchen to watch how some of the best traditional dishes are prepared.",TheGuardian,1,,,,,,,,,,,,
Mt Toubkal Long Weekend - Winter,[],"Mt Toubkal, you tricky customer

With our 50th birthdays looming, a few friends decided to take on a challenge. Onto the Exodus website we went... All 4 of us are fairly fit so decided a ""challenging"" level would be just the ticket! Mt Toubkal did not disappoint! It was definitely a challenge! Who knew it could rain and snow so much in August? Because we followed the trip notes, universal packing and read some reviews, we believed we were ready! We just didn't account for the altitude sickness! This took 3 of us out and only one of us made it to the summit.

What was the most inspirational moment of your trip? For me, it was the summit and just before! The hours before the summit were extremely difficult as you are hiking in the dark with just a head torch, following the boots of the person in front. It was steep, raining/hailing so it was slow going. When we stopped just shy of the summit, we witnessed the most amazing sight: A rainbow over the High Atlas Mountains! It was worth all the rain to see this sight. After waking up at 330am, hiking for 4+ hours, the summit was a sight to behold! (even if it was snowing in August... in Morocco... yes, snow in August!)

What did you think of your group leader? Ilyas our group leader and Abdul his assistant were amazing!!! With 3 of my friends ill with altitude sickness, Abdul took incredible care of them. Both Ilyas and Abdul have a great sense of humour and made us all laugh. After 2 days we understood ""Ilyas time"" (ie 5 min in our time is 10 in Ilyas time) and his love of telling time in seconds! Ilyas organised our day well and I now miss someone telling me when to wake up, when to eat and when to start walking! They both gave us a great insight into Moroccan culture and the religion of Islam. I have left knowing I will have a ""home away from home"" in Morocco! Ilyas also organised tours and spa visits on our last day in Marrakesh. He was great!!

Do you have any advice for potential travellers? Be prepared! Be fit! It is definitely NOT a walk in the park. Pack for all weathers including a rain cover for your day pack or at least a dry bag for inside the pack. Also I found sticks a must for descending. And have a head torch, not just a hand held torch because you need your hands to clamber over large rocks ets (also bring extra batteries just in case). Because you start and finish the summit ascent at the refuge, make sure you have clean dry WARM clothes ready for your return to the refuge. Drinks are not served with dinner at the refuge so make sure you have money to buy a drink from the shop or have a bottle of water ready. Also make sure you have dirham change for the hike as you stop at various places to buy juices on the way to the refuge. They won't take big denominations of dirham. Also, its best to have EUROs or Dirhams. Not many places were happy with £ or USD.",TheGuardian,1,,,,,,,,,,,,
The Danube’s Imperial Cities & Yuletide Markets River Cruise - MS William Wordsworth,[],"Day

3

During this morning’s breakfast, we arrive in Bratislava, the capital of Slovakia. Its communist past now firmly confined to the history books, the city has rediscovered its imperial heritage in its beautifully restored baroque old town whilst the grand white fortress, former seat of the rulers, enjoys commanding views over the river. This morning we will discover more about the city’s interesting history, seeing the main sights and visiting some of the churches to view their traditional Christmas cribs, before you enjoy some free time. Wander the maze of streets, admiring the Christmas decorations until you reach the main square and the market with its cosy atmosphere; the sweet fragrance of cinnamon wafts on the air and hundreds of fairy lights twinkle amongst the branches of the Christmas trees. The pretty red and white stalls groan with inspirational artisan gifts, from decorations, wooden figurines or pottery. Sample some local delicacies too such as potato pancakes or poppy seed strudel but make sure you don’t spoil your appetite as it won’t be long until lunch is served back on board. Afterwards you may wish to return to shore – perhaps to climb the tower of the Old Town Hall for a bird’s eye view of the city and the bustling market below. Alternatively, you may choose to join our optional excursion to Slovensky Grob, a village situated in the foothills of the Carpathian Mountains, famed for its geese rearing. We will visit a typical Slovak chalet to enjoy a wine tasting of some of the season’s new wines, accompanied by some typical local delicacies. Later we return to the ship where another excellent dinner will be served.",TheGuardian,1,,,,,,,,,,,,
The Danube’s Imperial Cities & Yuletide Markets River Cruise - MS Geoffrey Chaucer,[],"Day

3

During this morning’s breakfast, we arrive in Bratislava, the capital of Slovakia. Its communist past now firmly confined to the history books, the city has rediscovered its imperial heritage in its beautifully restored baroque old town whilst the grand white fortress, former seat of the rulers, enjoys commanding views over the river. This morning we will discover more about the city’s interesting history, seeing the main sights and visiting some of the churches to view their traditional Christmas cribs, before you enjoy some free time. Wander the maze of streets, admiring the Christmas decorations until you reach the main square and the market with its cosy atmosphere; the sweet fragrance of cinnamon wafts on the air and hundreds of fairy lights twinkle amongst the branches of the Christmas trees. The pretty red and white stalls groan with inspirational artisan gifts, from decorations, wooden figurines or pottery. Sample some local delicacies too such as potato pancakes or poppy seed strudel but make sure you don’t spoil your appetite as it won’t be long until lunch is served back on board. Afterwards you may wish to return to shore – perhaps to climb the tower of the Old Town Hall for a bird’s eye view of the city and the bustling market below. Alternatively, you may choose to join our optional excursion to Slovensky Grob, a village situated in the foothills of the Carpathian Mountains, famed for its geese rearing. We will visit a typical Slovak chalet to enjoy a wine tasting of some of the season’s new wines, accompanied by some typical local delicacies. Later we return to the ship where another excellent dinner will be served.",TheGuardian,1,,,,,,,,,,,,
The Blue Danube River Cruise - MS Robert Burns,[],"Day

6

For many, today’s visit to Vienna will be one of the highlights of the cruise. The city’s very name provokes images of elegance, fine music, wide boulevards, Baroque architecture and a rich tapestry of peoples who were drawn here from all corners of Europe. For 200 years until the First World War, Vienna was the cultural centre of Europe and many of the showpiece buildings, galleries, aristocratic palaces and magnificent churches you see today were built to reflect its imperial status. The city’s most iconic monument is the breathtaking Saint Stephen’s Cathedral, whose striking multi-coloured roof and huge Gothic South Tower dominate the skyline. There’s also the colossal Hofburg, the former royal court that is now home to a collection of museums, the Crown Jewels and the Spanish Riding School, and where the Vienna Boys’ Choir performs. Then there are the lavish Imperial Apartments and an outstanding collection of relics of the Holy Roman Empire, including, allegedly, the sabre of Charlemagne himself. The Kunsthistorisches Museum, which contains the world’s fourth largest collection of paintings, is just across the road. This morning we have a tour with a local guide offering insights into why Vienna is one of Europe’s great capitals – the seat of the Habsburg emperors and home to some of the world’s finest classical composers, including Beethoven, Brahms, Mozart and, of course, a whole family of Strausses. During the afternoon you’re free to explore as you wish. Take a stroll in the Prater, notable for the huge Ferris wheel that features in several Cold War spy thrillers. Or, for something quite different, visit the Schönbrunn Palace, a former royal residence now housing a range of world-class museums and galleries. Perhaps, though, just take a stroll through Vienna’s atmospheric side streets, or enjoy a coffee and a slice of delicious Sachertorte in one of the lovely coffee houses. This evening we’ve arranged truly the ‘icing on the cake’: no visit to Vienna is complete without a live musical experience, so after dinner we have a classical recital on board. To hear this exquisite music played in the city of its creation makes a wonderful finale to the day.",TheGuardian,1,,,,,,,,,,,,
New Year on the Danube - MS William Wordsworth,[],"Day

4

For many waking in Vienna on New Year's Day will be a highlight of the cruise. The city’s very name provokes images of elegance, fine music, wide boulevards, Baroque architecture and a rich tapestry of peoples who were drawn here from all corners of Europe. For 200 years until the First World War, Vienna was the cultural centre of Europe and many of the showpiece buildings, galleries, aristocratic palaces and magnificent churches you see today were built to reflect its imperial status. The city was the seat of the Habsburg emperors and home to some of the world’s finest classical composers, including Beethoven, Brahms, Mozart and of course, a whole family of Strausses. In this capitvating city, there’s also the colossal Hofburg, the former royal court that is now home to a collection of museums, the Crown Jewels and the Spanish Riding School and the Vienna Boys’ Choir. Then there are the lavish Imperial Apartments and an outstanding collection of relics of the Holy Roman Empire. There has also been a Yuletide market in Vienna since the Middle Ages and today the markets held over the festive period sell a huge range of seasonal gifts and mouth-watering treats. This morning we enjoy a tour in the company of a local guide who will offer insights into why Vienna is one of Europe’s great capitals, now proudly embellished in winter sparkle. There will also be time to browse the stalls of the markets where the irresistible smell of roasting chestnuts fills the air. Alternatively retreat to the refined yet cosy elegance of a traditional Viennese café for a steaming hot chocolate and a tempting pastry. After lunch on board we visit the magnificent Schönbrunn Palace. Once the summer residence of the Hapsburgs, this former royal residence now houses a range of world-class museums and galleries. Your included entrance and audio guide allows you into the dazzling state rooms, with their wealth of priceless artworks and the family’s impressive royal carriages. The palace also hosts a superb Yuletide market, specialising in traditional handicrafts and nostalgic toys.",TheGuardian,1,,,,,,,,,,,,
"Bruges, Medieval Flanders, Amsterdam & the Dutch Bulbfields River Cruise - MS Oscar Wilde",[],"Day

7

Early risers discover the ship making effortless progress along the delightful waterways and you experience the somewhat surreal effect of cruising above the surrounding reclaimed polders – it’s almost like flying! Today we visit Keukenhof, the heart of the glorious Dutch bulbfields. On arrival, nothing prepares you for the dazzling spectrum of colours stretched out before you in the world’s largest flower garden, covering nearly 80 acres. The art of flower planting reaches breathtaking heights at Keukenhof, a gardener’s heaven created by more than seven million tulips, daffodils and other blooms set among a beautiful landscape of shimmering lakes, ancient trees, flowering shrubs and water gardens. We re-join our ship in Amsterdam and after lunch you’re free to explore as you wish. Amsterdam is an art-lover’s dream. The Rijksmuseum is an architectural marvel itself, but it holds a magnificent collection of works by Dutch masters such as Rembrandt and Vermeer, while admirers of Post-Impressionism might prefer the Van Gogh Museum, housing the world’s greatest collection of works by this genius of a man. Or relax in a pavement café, absorbing Amsterdam’s special atmosphere over a rich Dutch coffee, browse the many shops or perhaps just stay on board to catch up on some reading. Tonight there’s another culinary highlight – the Captain’s Dinner, when the chef prepares his superb ‘signature’ dishes for you to enjoy in the splendid surroundings of the ship’s restaurant, with a chance to reflect on the fascinating places you have discovered, poignant stories you have heard and the new friends you have made.",TheGuardian,1,,,,,,,,,,,,
"Douro, Porto & Salamanca River Cruise - MS Douro Elegance",[],"Day

7

There’s a perfect opportunity to avail yourself of some of the ship’s range of five-star facilities this morning – maybe a little gentle exercise in the fitness room before heading up to the sun deck to enjoy a coffee whilst chatting with newly-made friends as our ship makes a graceful arrival in Porto once more, passing under the city’s spectacular bridges. Porto is of course synonymous with wonderful port wine and all the famous port producers are here, such as Cálem, Sandeman and Ferreira, so a visit here would not be complete without a tour of one of them. You’ll learn about this fortified wine’s fascinating history and its close British connections. Port is made from grapes still pressed in the traditional way – by feet – then lovingly matured, sometimes for decades, before you can enjoy its subtle flavours. Of course, you’ll get the chance to sample various port styles at the end of our visit. After lunch on board we enjoy a guided tour of Porto. Strategically overlooking the Douro as it empties into the Atlantic, Portugal’s second largest city was originally a Roman town, but its wealth derived from its knowledge of the sea routes to India, with fortunes made from trading spices, silks and other fine goods. Our tour unveils some of its major and more surprising sights. You’ll have the rest of the afternoon to explore the truly fascinating city; so perhaps return to the terraced streets of the old town and wander the sloping maze of winding, cobbled alleyways, soaking up the atmosphere whilst stopping to admire the lovely architecture, soaring bell towers, fine baroque churches, golden rooftops and beautiful tiles of this slice of traditional Portugal. Stop for a drink in a cosy café and be tempted by an array of delicious cakes and pastries – perhaps sample a pastel de nata, the traditional Portuguese custard tart. This evening, enjoy a final dinner on board expertly served by our restaurant staff under the supervision of the maître d’. Afterwards, perhaps settle into the lounge to chat into the evening and reflect on the splendours of the remarkable River Douro – over a glass of port, of course.",TheGuardian,1,,,,,,,,,,,,
India's Golden Triangle & Shimla with Udaipur Extension,[],"Day

9

Awaken early to pay a second visit to the Taj Mahal, watching the sun rise over it from across the Yamuna River. We'll return to the hotel for breakfast, and then leave Agra behind as we head to Abhaneri. This ancient village is home to Chand Baori, one of the oldest and most intricate stepwells in India, its 13 storeys and 3500 steps offering access to water and much-needed refuge from the sun's heat. After lunch at the sumptuous Umaid Lake Palace heritage hotel, we'll continue to Ranthambhore National Park. This former royal hunting ground is now a key centre for Project Tiger, and its grasslands, streams and beautiful pools are home to striped hyenas, sambar deer, sloth bears and of course tigers. This evening, prior to tomorrow's adventures, enjoy a tiger talk from a local naturalist.",TheGuardian,1,,,,,,,,,,,,
Highlights of Northern India - Summer itinerary,[],"The Taj Mahal was so impressive - it really is worth seeing it in real life. Pictures and TV can't do it justice. The whole trip was worth it just for that. Seeing a tiger in Rathambhore was thrilling especially as many groups aren't that lucky (but the safaris are worthwhile and enjoyable in their own right even if no tigers appear). Varanasi was fascinating and an unexpected highlight for me. Also visiting the Sikh Gurdwara and its communal kitchens in Delhi was a really interesting trip and gave an insight into an aspect of a religion I knew little about.

Do you have any advice for potential travellers?

It really does get very cold in February, particularly on the game drives and sunrise starts. You can't wear enough on the early morning safari to keep warm. So pack accordingly! Layers are best as later in the day when the sun's out you won't need your jackets. Most days you have access to a bus so can leave things like coats. European plug adaptors are the most useful to take and can be used in the majority of the hotels. The train does have power points by the bunks. You can purchase a chain and padlock to secure your bags on the train very cheaply at the station - so if you don't already have one, don't splash out in your home country on one. As with all Exodus trips, a softer, smaller bag will serve you better than a big hard suitcase, particularly when trying to fit it under the train bunk beds. There are a number of optional excursions and these aren't always listed in the trip notes. The cost was generally around 1000-1500 rupees per person for a group of 16. It would be higher for smaller groups. The excursions offered were a cooking demonstration on the first evening, a hot air balloon ride on the second morning (this would be more expensive than the cost above), watching a Bollywood film at a local cinema on the second night (this was about 700 rupees and was well worth it, really enjoyable), a sunrise cruise on the river in Varanasi to see the burning ghats (highly highly recommended), a trip to Sarnath on the second day in Varanasi (miss-able, but does pass the time if you don't want to wait around at the hotel), and a sightseeing trip in Delhi on the last day. You won't necessarily see the standard sights on the Delhi trip but the places we went were well worth visiting, especially the Gurdwara. If you do all the trips and eat with the group, you need at least £200 spending money. The shopping trips can't really be avoided despite what the trip notes say as they are done 'en route' to other things, although you can opt to stay on the bus if you prefer. Take a kindle or phone or something else to amuse yourself if that's the case. The items you see are all high-price and outside the budget of some travellers, so if you're going to have to watch your money and find temptation hard to resist, you might also want to sit these out. If you're a keen photographer or historian, planning ahead for your visits is a good idea as you'll get very little time at some of the sights - in particular, those in Jaipur, and Fatephur Sikri. Reading up in advance will help you make the most of the time you get and ensure you don't miss anything you particularly wanted to see/photograph.",TheGuardian,1,,,,,,,,,,,,
